Title,Probability,Reasoning,Open Access PDF URL
"""do anything now"": characterizing and evaluating in-the-wild jailbreak prompts on large language models",7,"The paper provides valuable insights into jailbreak prompts, which are a specific type of adversarial prompt that attempts to circumvent the safeguards of large language models. Understanding the characteristics and evaluation of these prompts is relevant to prompt engineering because it guides the development of prompts that can resist misuse and prompts that align better with human values. Although it focuses on the adversarial aspect rather than constructive prompt engineering, the findings can inform the broader field of prompt engineering, particularly in designing robust and safe systems. Therefore, the study is quite relevant but not entirely centered on prompt engineering in its purest form, hence the rating of 7.",https://arxiv.org/pdf/2308.03825
latent jailbreak: a benchmark for evaluating text safety and output robustness of large language models,9,"The paper focuses on evaluating the safety and robustness of large language models (LLMs) using a benchmark that entails analysis of prompt design, which is highly relevant to prompt engineering. Specifically, it investigates how malicious instructions embedded within prompts affect the LLM's behavior. This is crucial for understanding how different prompt structures (position of instructions, word replacements, and instruction replacements) influence the model's output, aligning closely with the broader field of prompt engineering that aims to optimize the interaction with LLMs. The systematic review mentioned in the query would likely cover such research, as it is integral to understanding how 'hard prefixes' or fixed parts of prompts can affect the LLM's outputs. The only reason it does not get a full 10 is because the study does not solely focus on the engineering aspect of prompts but also on the safety and ethical concerns related to prompts.",https://arxiv.org/pdf/2307.08487
fuzzllm: a novel and universal fuzzing framework for proactively discovering jailbreak vulnerabilities in large language models,7,"The relevance of 'fuzzllm: a novel and universal fuzzing framework for proactively discovering jailbreak vulnerabilities in large language models' to prompt engineering is notable. While the primary focus is on discovering vulnerabilities through fuzz testing, the utilization of templates to understand the structure of prompts and the identification of features within these prompts are directly related to the study of prompt engineering. The process of ensuring that prompts do not lead to service guideline violations requires a deep understanding of how different prompts are constructed and how they interact with LLMs. Therefore, the research indirectly contributes to the field of prompt engineering by seeking ways to prevent manipulative prompts from eliciting undesired responses. However, the study does not directly address hard prefix prompts or the systematic review of such prompts, which would be more central to a targeted prompt engineering study.",https://arxiv.org/pdf/2309.05274
"tricking llms into disobedience: understanding, analyzing, and preventing jailbreaks",8,"The study is highly relevant to prompt engineering as it addresses the manipulation of prompts to achieve unintended model behaviors, which is a critical aspect of prompt design and engineering. Understanding how to prevent these 'jailbreaks' is crucial for developing more secure and reliable prompt engineering practices. The study provides insights into the vulnerabilities of current models and offers potential solutions, which directly contribute to the field of prompt engineering. The rating is not a full 10 because the study is more focused on security and mitigation rather than the broader aspects of prompt engineering, such as the optimization of prompts for various tasks or the generation of more sophisticated prompts for improved performance.",http://arxiv.org/pdf/2305.14965
jailbreaking black box large language models in twenty queries,8,"The abstract discusses an algorithm (PAIR) for generating 'semantic jailbreaks' using adversarial methods on large language models (LLMs) such as GPT-3.5/4, Vicuna, and PaLM-2. This is highly relevant to prompt engineering because understanding and preventing adversarial manipulation of LLMs is crucial for developing more effective and secure prompts. It is directly related to the field as it explores the vulnerabilities in the current engineering of prompts and how they can be exploited. The abstract, however, does not specifically address 'hard prefix prompts', which are a subset of prompts within prompt engineering, hence not warranting a full score of 10.",https://arxiv.org/pdf/2310.08419
visual prompt tuning,7,"The topic of Visual Prompt Tuning (VPT) is relevant to the prompt engineering study since it deals with the adaptation of pre-trained models, which is a core concept in prompt engineering. However, VPT specifically addresses the visual domain and large-scale Transformer models in vision, which differs from the 'hard prefix prompts' that typically relate to textual input. Despite this difference, the underlying principles of efficient tuning and the introduction of new parameters to influence model behavior without extensive retraining are concepts shared with prompt engineering. This cross-domain relevance is valuable but not directly tied to the initial study of 'hard prefix prompts', hence the rating of 7.",http://arxiv.org/pdf/2203.12119
conditional prompt learning for vision-language models,7,"The abstract describes a study that focuses on prompt learning, specifically in vision-language models, which is highly relevant to the field of prompt engineering. The study introduces Conditional Context Optimization (CoCoOp), which is a method for improving the generalization of learned prompts over unseen classes. While this is directly related to prompt engineering, it is specifically tailored to vision-language models, and not directly focused on 'hard prefix prompts' which the original prompt suggests. Therefore, the relevance rating is not a perfect 10, as 'hard prefix prompts' might imply a different subset of prompt engineering concerned with text prompts in NLP. Nevertheless, the concepts studied are transferable to prompt engineering more broadly, warranting a relatively high rating.",https://arxiv.org/pdf/2203.05557
prompt-to-prompt image editing with cross attention control,8,"The provided abstract describes a study closely related to 'prompt engineering,' as it involves a framework for editing images using text prompts, which directly entails understanding and manipulating prompts for precise outcomes. The emphasis on cross-attention layers as a mechanism for controlling the relationship between text prompts and the spatial layout of images is particularly relevant to the field of prompt engineering, as it is concerned with the fine-tuned influence of textual input on generative models. While the study is not specifically about 'hard prefix prompts,' it contributes to the broader field of prompt engineering by showing how textual prompts can be used to control and manipulate the output of synthesis models. The 2-point deduction accounts for the specific focus on imagery rather than a systematic review of hard prefix prompts in various contexts.",http://arxiv.org/pdf/2208.01626
p-tuning: prompt tuning can be comparable to fine-tuning across scales and tasks,9,"The provided abstract is highly relevant to prompt engineering study as it discusses 'prompt tuning', which is a method within the field of prompt engineering in natural language understanding (NLU). It compares prompt tuning with fine-tuning, highlighting its efficiency and effectiveness across different tasks and model scales, and introduces an advanced version named 'P-Tuning v2'. This research contributes to the understanding of how continuous prompts can be optimized and sheds light on prompt engineering as a potentially universal method for NLU tasks, making it a significant resource for studying prompt engineering methods.",https://aclanthology.org/2022.acl-short.8.pdf
"pre-train, prompt, and predict: a systematic survey of prompting methods in natural language processing",9,"The article provides a detailed survey of prompt-based learning in natural language processing, which is directly relevant to prompt engineering. It covers the adaptation of language models to new tasks using prompts, which is a core concept in prompt engineering. The systematic review and organization of research along with the introduction of a unified set of mathematical notations for existing work are valuable for understanding the breadth and depth of prompt-based methods, making it highly relevant to the study of prompt engineering. Moreover, the article's release of resources like NLPedia–Pretrain aids further research and accessibility. The rating is not a perfect 10 because it might not exclusively focus on 'hard prefix prompts' as the prompt engineering study inquires but generally covers prompting methods in NLP.",https://dl.acm.org/doi/pdf/10.1145/3560815
